Components,Classifier,Accuracy,Precision,Recall
2.000000,GaussianNB,0.092,0.449,0.092
2.000000,BernoulliNB,0.646,0.552,0.646
2.000000,RandomForestClassifier,0.637,0.519,0.637
2.000000,LogisticRegression,0.497,0.515,0.497
2.000000,SGDClassifier,0.130,0.228,0.130
2.000000,RidgeClassifier,0.648,0.422,0.648
2.000000,DecisionTreeClassifier,0.632,0.520,0.632
2.000000,KNeighborsClassifier,0.597,0.561,0.597
2.000000,LinearSVC,0.440,0.424,0.440
6.000000,GaussianNB,0.114,0.483,0.114
6.000000,BernoulliNB,0.648,0.563,0.648
6.000000,RandomForestClassifier,0.582,0.563,0.582
6.000000,LogisticRegression,0.570,0.526,0.570
6.000000,SGDClassifier,0.129,0.322,0.129
6.000000,RidgeClassifier,0.647,0.513,0.647
6.000000,DecisionTreeClassifier,0.557,0.567,0.557
6.000000,KNeighborsClassifier,0.590,0.551,0.590
6.000000,LinearSVC,0.420,0.404,0.420
8.000000,GaussianNB,0.125,0.491,0.125
8.000000,BernoulliNB,0.647,0.566,0.647
8.000000,RandomForestClassifier,0.587,0.567,0.587
8.000000,LogisticRegression,0.581,0.538,0.581
8.000000,SGDClassifier,0.186,0.238,0.186
8.000000,RidgeClassifier,0.648,0.521,0.648
8.000000,DecisionTreeClassifier,0.546,0.560,0.546
8.000000,KNeighborsClassifier,0.590,0.551,0.590
8.000000,LinearSVC,0.278,0.388,0.278